Artist ID,Artist Name,Genres,Followers,Popularity
0qjWYusrckF9BpkvWaoKRO,Cozy Coffee Shop,jazz,6634,63
063xkuRULzZu8fcoPR2rKR,Lou Donaldson,"hard bop, jazz, soul jazz, bebop, jazz funk, jazz blues, cool jazz",58444,47
2b9qemp1Y8NuEbY4RMYHY1,Jazzy Coffee,jazz,8993,62
3eVa5w3URK5duf6eyVDbu9,ROSÃ‰,k-pop,9618242,88
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,bedroom pop,4909187,81
6P5NO5hzJbuOqSdyPB7SJM,Ashe,,1903956,68
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,,43121528,86
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,,4124065,88
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,,66395833,94
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,,11017542,79
5y8tKLUfMvliMe8IKamR32,d4vd,,3410285,79
7tYKF4w9nC0nq9CsPZTHyP,SZA,r&b,26331222,94
36cgvBn0aadzOijnjjwqMN,ILLIT,k-pop,2151746,74
06HL4z0CvFAxyc27GXpf02,Taylor Swift,,130859780,97
3mIj9lX2MWuHmhNCA7LSCW,The 1975,,7584960,76
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art pop, pop",34164568,90
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,,105863801,94
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"hip hop, west coast hip hop",36348965,94
3pc0bOVB5whxmD50W79wwO,keshi,,3891323,75
3eCd0TZrBPm2n9cDG6yWfF,DEAN,"k-rap, k-pop",1516200,63
1khChLj7REGqjM043PlYyn,Xdinary Heroes,"k-rock, k-pop",1149433,59
5o615XColiSVMPDWlslKSk,Wonstein,k-rap,167396,62
5069JTmv5ZDyPeZaCCXiCg,wave to earth,,3787543,75
2CQZr2RPZmrcvDnaod1ldC,D.O.,"k-ballad, k-pop",2044799,64
6WWUJGBY4ETAE22tRmgJ8b,Dvwn,,300911,50
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,648453,59
3JsHnjpbhX4SnySpvpa9DK,V,k-pop,19293143,83
0qQI2kmsvSe2ex9k94T5vu,JAEHYUN,,972352,66
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,k-pop,6466388,79
6WeDO4GynFmK4OxwkBzMW8,The Black Skirts,k-rock,458840,56
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop, k-ballad",9005559,69
7isCii8IZOBPInAYFn2n5Q,The Poles,k-rock,176862,46
3rHcBT06Vb1XGVUWhDALZt,WONWOO,,484008,49
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad, k-rock",610841,52
4U80LJd8sG6U9YTFP5izka,Suzy,"k-ballad, soundtrack",496243,50
6UbmqUEgjLA6jAcXwbM1Z9,BIBI,"k-pop, k-rap",1674715,64
41lcf5k3PkUdxupYLkcjCd,dosii,,170442,48
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,10077290,79
