Artist ID,Artist Name,Genres,Followers,Popularity,Image
5JZ7CnR6gTvEMKX4g70Amv,Lauv,,6485913,75,https://i.scdn.co/image/ab6761610000e5ebb173d69f77530d77a991984f
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,,12832961,79,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,,2308898,67,https://i.scdn.co/image/ab6761610000e5eb64df9f37d51342328bc0790c
4EKSBwzbRW2YnMP5JXnXYr,sunkis,"chinese r&b, c-pop",114524,58,https://i.scdn.co/image/ab6761610000e5eb6db091bc58a8301d88732953
0VpMOC5IZU06u29fWjv3qJ,J.Tajor,,94283,59,https://i.scdn.co/image/ab6761610000e5ebb044a552ffb724baab8293b2
48JtfAggQQpfUXQNxkGm5U,Dept,,255840,54,https://i.scdn.co/image/ab6761610000e5ebe842b352c653ce12f6feeb2c
0MBNzfGHTiPYag4DupDXUj,Sarah Kang,,177009,54,https://i.scdn.co/image/ab6761610000e5ebfc127b34fde8611765a74301
3pc0bOVB5whxmD50W79wwO,keshi,,3895719,75,https://i.scdn.co/image/ab6761610000e5ebe6f96cf550aeaf3a51d6a0bb
1dPSMH55yhvjYIwqCP4iDj,Luke Chiang,,471904,61,https://i.scdn.co/image/ab6761610000e5eb4342103a5faae2cbac0f5bae
75OSuJw6r1LCdYgmTt0gHs,Micah Edwards,,45821,49,https://i.scdn.co/image/ab6761610000e5eb8c5d42531ccce3674d915542
0ENnerFBtqPaVUcHadXU2w,Hojean,,243760,55,https://i.scdn.co/image/ab6761610000e5eb9e2e238593de56385301dc70
30gZlVVUt3gwNXlLorZjuq,Rocco,,298885,61,https://i.scdn.co/image/ab6761610000e5ebe7c54022dab75114972aa7d3
6LszZyd03prLB8lIPbZ9Uo,Takayoshi,,128304,55,https://i.scdn.co/image/ab6761610000e5ebbdcc1fa6ca4b0b90214df606
3Y7gOnKYWfQlEdgXag0Z6W,Regina Song,,98552,56,https://i.scdn.co/image/ab6761610000e5ebfc71aaf9720b4fde94afdc92
7tYKF4w9nC0nq9CsPZTHyP,SZA,r&b,26435663,93,https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65
36cgvBn0aadzOijnjjwqMN,ILLIT,k-pop,2173821,74,https://i.scdn.co/image/ab6761610000e5eb32863b8dca4574c09e4b9295
1SIocsqdEefUTE6XKGUiVS,BABYMONSTER,k-pop,3593323,76,https://i.scdn.co/image/ab6761610000e5ebb419d66ef21661311c806bfe
5xq3BK55BJmutN0X7eTyQB,Jeff Satur,"t-pop, thai pop",1269722,62,https://i.scdn.co/image/ab6761610000e5eb14ffe437cbbe2a1b93067f9b
68KmkJeZGfwe1OUaivBa2L,ATEEZ,k-pop,4543603,73,https://i.scdn.co/image/ab6761610000e5ebd28d311ccd01e2fd8917cb5c
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,9791077,85,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79
30b9WulBM8sFuBo17nNq9c,G-DRAGON,"k-pop, k-rap",3164383,71,https://i.scdn.co/image/ab6761610000e5eb99234fca18ba6bc8e75620ca
08hHTBHlv0WRXWlyrsb6Kv,MEOVV,k-pop,432846,62,https://i.scdn.co/image/ab6761610000e5ebbae75a7af7a9ead49a90f78a
2dIgFjalVxs4ThymZ67YCE,Stray Kids,k-pop,18033197,85,https://i.scdn.co/image/ab6761610000e5ebdbe356bad5c3576e77dbf36f
7Lq3yAtwi0Z7zpxEwbQQNZ,VIVIZ,k-pop,832814,59,https://i.scdn.co/image/ab6761610000e5eba3144a3e92b0d80459903a34
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,k-pop,10877179,79,https://i.scdn.co/image/ab6761610000e5eb1ddfd74a1c2dcaa5f833b61d
4TEK9tIkcoxib4GxT3O4ky,KISS OF LIFE,k-pop,1849825,73,https://i.scdn.co/image/ab6761610000e5eb33a8ccf7ddd38cea1a0eac0d
3eVa5w3URK5duf6eyVDbu9,ROSÃ‰,k-pop,9690599,87,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
6YVMFz59CuY7ngCxTxjpxE,aespa,k-pop,7756564,79,https://i.scdn.co/image/ab6761610000e5ebf7a1090ad3a35a34fc0ecb57
1FCug8HMxqearaZB5qwWQj,IRENE,k-pop,435167,55,https://i.scdn.co/image/ab6761610000e5eba6a1fb3e2c31af9255ae99e2
